ID,Participant,Accent,Sentence,Item,Stimulus,Response,Word_Type,Accuracy,Error_Type,Familiarity,,,
379,13,ChinEng,33,270,get,X,Function,FALSE,Omission_FW,Never,,,
380,13,ChinEng,33,271,involved,X,Content,FALSE,Omission_CW,Never,,,
381,13,ChinEng,33,272,in,in,Function,TRUE,,Never,,,
382,13,ChinEng,33,273,the,the,Function,TRUE,,Never,,,
383,13,ChinEng,33,274,casino,casino,Content,TRUE,,Never,,,
384,13,ChinEng,33,275,gambling,gambling,Content,TRUE,,Never,,,
385,15,ChinEng,33,269,never,never,Content,TRUE,,Never,,,
386,15,ChinEng,33,270,get,get,Function,TRUE,,Never,,,
387,15,ChinEng,33,271,involved,X,Content,FALSE,Omission_CW,Never,,,
388,15,ChinEng,33,272,in,in,Function,TRUE,,Never,,,
